mode_short,input_tokens,cached_input_tokens,uncached_input_tokens,output_tokens,reasoning_output_tokens,total_tokens,estimated_cost_usd,agent_elapsed_s,setup_elapsed_s,tool_call_count_normalized,crg_tool_call_count,graphify_shell_call_count,cache_hit_rate,answer_words,mode_label
base,554389.5,453717.3333333333,100672.16666666667,6044.666666666667,1218.8333333333333,560434.1666666666,0.9115595000000001,147.81816666666666,0.0,36.5,0.0,0.0,0.8125217117761966,969.5,Base
crg,643125.3333333334,549120.0,94005.33333333333,5425.166666666667,1089.1666666666667,648550.5,0.9073416666666666,137.53549999999998,24.74683333333333,33.0,4.333333333333333,0.0,0.8475529921579792,884.1666666666666,CRG
graphify,562340.5,445653.3333333333,116687.16666666667,5414.5,455.3333333333333,567755.0,0.9686975000000001,133.601,86.50433333333332,65.66666666666667,0.0,10.333333333333334,0.785757019152106,814.1666666666666,Graphify
graphify+crg,821598.0,722986.6666666666,98611.33333333333,6386.333333333333,1693.6666666666667,827984.3333333334,1.04614,157.58683333333332,108.738,29.333333333333332,0.3333333333333333,6.666666666666667,0.879119940575129,905.0,Graphify + CRG
