case,base,crg,graphify,graphify+crg
admin-permissions,75.66437227489256,76.92986779647043,83.67427654887729,62.04562509751177
admin-product-edit-field,78.78742868609578,65.45,82.48620607824456,73.3432635868456
auth-discovery,74.3628608054136,67.79985224826798,78.18202775717194,82.8531146383087
cart-to-order-flow,80.16983045186328,58.478309749869744,86.85502340529588,69.06575377463074
inactive-customers-csv,76.55868544454383,71.87839052929166,82.6797618339557,66.67898279202804
order-total-impact,83.54108125896738,64.49213766456744,75.81884880009157,77.01239396664732
